event_id,disease,district,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source,precip_mean_mm,precip_max_mm,precip_sum_mm,precip_climatology_normal_mm,precip_anomaly_mm,rh_mean_pct,rh_max_pct,temp_mean_c,vpd_mean_kpa,wet_persistence_max_days,n_met_days,sar_vv_db_mean,sar_vh_db_mean,n_s1_scenes,ndvi_mean,ndwi_mean,lst_celsius_mean,n_landsat_scenes
WB_Barisal_2016,wheat_blast,Barisal,2015-16,2016,2015-12-01,2016-02-28,1,,,,,1,21.0,unknown,,Islam et al. (2016) BMC Biology 14:84,0.7387777777777778,33.14,66.49,0.548225201072386,0.1905525767053917,68.84911111111113,87.28,21.21711111111111,0.8328982704658895,2.0,90,-6.113607968055981,-13.286526720125009,4,0.4475166051269156,-0.3969620801387002,25.45255967439455,4.0
WB_Pabna_2016,wheat_blast,Pabna,2015-16,2016,2015-12-01,2016-02-28,1,,,,,0.2,18.0,unknown,Lowest infection,Islam et al. (2016) BMC Biology 14:84,0.5872222222222222,25.39,52.85,0.3811152815013404,0.2061069407208817,53.433777777777784,76.12,20.848333333333333,1.224045477064256,1.0,90,-5.578976110407223,-14.48116380091056,6,0.2753117019566076,-0.2463277237482055,23.353017524023457,4.0
WB_Dinajpur_2016,wheat_blast,Dinajpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.1664444444444444,13.26,14.98,0.2117533512064343,-0.0453089067619899,49.860888888888894,81.86,19.35111111111111,1.2057302087406756,1.0,90,-7.6167587923334,-14.592320375356609,6,0.2648304578382861,-0.2781444517842154,24.270081636171895,4.0
WB_Thakurgaon_2016,wheat_blast,Thakurgaon,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.1044444444444444,8.01,9.4,0.209029490616622,-0.1045850461721775,50.381777777777785,79.43,18.995666666666672,1.167323561494254,1.0,90,-7.224904462796047,-14.890310002278992,6,0.4161703514092719,-0.402307410668769,23.713518496718763,4.0
WB_Panchagarh_2016,wheat_blast,Panchagarh,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.0951111111111111,5.17,8.56,0.2243002680965147,-0.1291891569854036,47.242666666666665,73.93,19.373444444444445,1.2542533866962409,1.0,90,-8.194764702862711,-15.59965242074755,6,0.3682255880561026,-0.3788661306002071,24.442564805585977,4.0
WB_Rangpur_2016,wheat_blast,Rangpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.3928888888888889,33.35,35.36,0.2541501340482573,0.1387387548406315,52.91177777777777,82.63,19.78533333333333,1.1601449743046477,1.0,90,-18.512669503689523,-12.869445784445304,6,0.3056770725398285,-0.2801246858140729,21.132219111406272,4.0
WB_Nilphamari_2016,wheat_blast,Nilphamari,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.1044444444444444,8.01,9.4,0.209029490616622,-0.1045850461721775,50.381777777777785,79.43,18.995666666666672,1.167323561494254,1.0,90,-6.364007331870151,-14.31011093076826,6,0.343322899272276,-0.3255881184784836,22.6973418183008,4.0
WB_Kurigram_2016,wheat_blast,Kurigram,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.2001111111111111,16.19,18.009999999999998,0.2265951742627346,-0.0264840631516234,54.40722222222222,81.75,19.308333333333337,1.1042059632711017,1.0,90,-7.128752311457149,-16.18437821067208,6,0.2792402993167087,-0.2626776517075694,21.693241698828142,4.0
WB_Gaibandha_2016,wheat_blast,Gaibandha,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.3928888888888889,33.35,35.36,0.2541501340482573,0.1387387548406315,52.91177777777777,82.63,19.78533333333333,1.1601449743046477,1.0,90,-7.687416605403841,-17.47758997206728,6,0.2655386093787911,-0.2546814308763644,22.89729265039064,4.0
WB_Bogura_2016,wheat_blast,Bogura,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0.0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative,0.5925555555555556,48.22,53.330000000000005,0.2994638069705094,0.2930917485850462,54.904333333333334,86.62,19.886222222222223,1.1210466896432876,1.0,90,-5.890323915720849,-13.137907451702556,6,0.3136465008079884,-0.3005322962535289,23.04675091554691,4.0
